63,activityrecognition,vehicle,46
2067,android.sensor.accelerometer,2.4420857,3.620033,8.992621
2116,android.sensor.accelerometer,2.4420857,3.6391866,8.762778
2166,android.sensor.accelerometer,2.8538885,2.834735,9.260772
2216,android.sensor.accelerometer,0.6703765,4.2425256,10.295067
2266,android.sensor.accelerometer,3.064578,3.9264908,10.505757
2317,android.sensor.geomagnetic_rotation_vector,0.233895,0.051222,0.811629,0.532848,0.0
2369,android.sensor.game_rotation_vector,0.215435,0.010084,0.342127,0.914568
2418,android.sensor.game_rotation_vector,0.224351,0.014889,0.333553,0.915525
2469,android.sensor.game_rotation_vector,0.258725,0.030027,0.332669,0.906361
2520,android.sensor.gyroscope,0.22479841,1.1826351,0.5412266
2571,android.sensor.orientation,314.50998,-35.489998,1.42
2626,android.sensor.accelerometer,-2.4037786,2.4229321,9.988609
2676,android.sensor.accelerometer,-2.4612393,0.37349546,9.021352
2726,android.sensor.accelerometer,-2.231396,2.1930888,8.111555
2776,android.sensor.accelerometer,-3.169923,2.4899697,7.7667904
2829,android.sensor.game_rotation_vector,0.001772,0.299548,0.50389,0.810162
2880,android.sensor.orientation,288.56,-21.56,-29.74
2931,android.sensor.gyroscope,-1.1753048,-1.5173893,-1.5503759
2986,android.sensor.accelerometer,-5.4204726,-0.80445176,20.887016
3036,android.sensor.accelerometer,-2.9017725,1.1587936,12.430696
3086,android.sensor.accelerometer,-0.23942018,1.484405,11.348516
3136,android.sensor.accelerometer,-1.8866309,3.4763808,9.088389
3186,android.sensor.accelerometer,-1.7908629,4.4340615,5.650316
3236,android.sensor.accelerometer,-3.821146,2.0494366,12.842498
3286,android.sensor.accelerometer,-1.5227122,-2.719813,7.6135616
3336,android.sensor.accelerometer,-0.41180268,1.1204864,5.5162406
3387,android.sensor.geomagnetic_rotation_vector,-0.024167,0.103327,0.850578,0.515029,0.0
3438,android.sensor.game_rotation_vector,0.038042,0.107841,0.31659698,0.941641
3489,android.sensor.game_rotation_vector,0.024928,0.116288,0.32784,0.937217
3538,android.sensor.gyroscope,-0.002443461,0.15271631,0.3921755
3589,android.sensor.gyroscope,-0.2406809,0.9944886,0.72692966
3640,android.sensor.orientation,296.38998,-13.59,-15.839999
3691,android.sensor.orientation,296.6,-11.79,-13.73
3746,android.sensor.accelerometer,-1.8674773,0.7278373,9.80665
3796,android.sensor.accelerometer,-2.825158,0.29688102,10.247183
3849,android.sensor.accelerometer,-0.91937345,-0.58418524,10.323798
3902,android.sensor.orientation,295.04,-2.34,-6.33
3950,android.sensor.magnetic_field_uncalibrated,152.0625,152.0625,141.8125,132.0,159.875,180.6875
4006,android.sensor.accelerometer,-1.484405,0.047884032,9.050082
4056,android.sensor.accelerometer,-1.436521,-2.336741,10.199299
4106,android.sensor.accelerometer,-2.0015526,-3.3997664,9.835381
4156,android.sensor.accelerometer,-2.7389667,-1.5035586,9.509769
4209,android.sensor.geomagnetic_rotation_vector,-0.133075,0.054463,0.8166,0.559006,0.0
4266,android.sensor.accelerometer,-2.834735,-2.480393,9.758766
4316,android.sensor.accelerometer,-4.654328,-2.3175871,9.346964
4366,android.sensor.accelerometer,-3.8594532,-0.41180268,10.505757
4416,android.sensor.accelerometer,-2.8443117,-1.2641385,9.414001
4467,android.sensor.geomagnetic_rotation_vector,-0.167519,-0.055317,0.881078,0.438836,0.0
4517,android.sensor.rotation_vector,-0.136678,0.043711,0.569588,0.809306,0.0
4569,android.sensor.magnetic_field_uncalibrated,152.0625,158.625,142.5625,132.0,159.875,180.6875
4620,android.sensor.orientation,290.53,17.05,-5.08
4671,android.sensor.magnetic_field,19.3125,1.6875,-38.125
4726,android.sensor.accelerometer,-2.078167,-3.1028855,9.251195
4776,android.sensor.accelerometer,-1.1683705,-1.8962077,9.519346
4826,android.sensor.accelerometer,-2.432509,-1.7812861,8.37013
4876,android.sensor.accelerometer,-0.076614454,-3.715801,10.323798
4926,android.sensor.accelerometer,-2.719813,-3.4572272,8.101978
4976,android.sensor.accelerometer,-1.2258313,-6.588843,10.208876
5027,android.sensor.geomagnetic_rotation_vector,-0.187533,-0.195412,0.876948,0.396995,0.0
5077,android.sensor.rotation_vector,-0.193905,0.043418,0.579423,0.790432,0.0
5129,android.sensor.game_rotation_vector,-0.201872,0.091588,0.340827,0.913616
5179,android.sensor.magnetic_field,26.625,2.4375,-35.9375
5231,android.sensor.orientation,293.63,15.799999,-10.5
5281,android.sensor.orientation,291.8,16.56,-6.66
5336,android.sensor.accelerometer,2.9496565,-4.596867,13.206416
5386,android.sensor.accelerometer,0.019153614,-1.2354081,7.192182
5436,android.sensor.accelerometer,3.3518825,-2.8060043,7.489063
5488,android.sensor.accelerometer,3.371036,-4.414908,10.582372
5537,android.sensor.gravity,3.0719,-2.4894,8.9741
5589,android.sensor.game_rotation_vector,-0.090466,-0.224099,0.38307,0.891544
5638,android.sensor.game_rotation_vector,-0.109572,-0.216882,0.36687,0.897976
5689,android.sensor.gyroscope_uncalibrated,-0.6914995,1.8228219,-0.28955013,0.012217305,0.04642576,-0.0012217305
5743,android.sensor.orientation,281.24,18.449999,8.5199995
5796,android.sensor.accelerometer,-0.1340753,-4.098873,10.457873
5847,android.sensor.accelerometer,-0.5554548,-4.6160207,10.266336
5897,android.sensor.accelerometer,-0.6703765,-4.3478703,9.902418
5949,android.sensor.game_rotation_vector,-0.214838,-0.085905,0.336941,0.912652
5999,android.sensor.magnetic_field_uncalibrated,145.5,170.375,141.125,132.0,159.875,180.6875
6051,android.sensor.orientation,271.21,22.43,2.12
6106,android.sensor.accelerometer,-0.545878,-3.1316159,7.565677
6156,android.sensor.accelerometer,-0.19153613,-3.964798,4.7979803
6206,android.sensor.accelerometer,0.11492168,-6.167464,9.509769
6259,android.sensor.game_rotation_vector,-0.238719,-0.075112,0.423768,0.870512
6312,android.sensor.orientation,266.62,24.039999,-6.8799996
6366,android.sensor.accelerometer,-3.2465374,-2.3942018,9.021352
6417,android.sensor.accelerometer,-2.030283,-4.3382936,9.308656
6466,android.sensor.accelerometer,-2.585738,-3.763685,8.197746
6517,android.sensor.rotation_vector,-0.205626,-0.098744,0.743339,0.628819,0.0
6569,android.sensor.game_rotation_vector,-0.276467,-0.017773,0.413435,0.867364
6619,android.sensor.gyroscope_uncalibrated,-0.13561209,0.23579398,-0.047647487,0.012217305,0.04642576,-0.0012217305
6669,android.sensor.magnetic_field_uncalibrated,153.5625,169.625,141.8125,132.0,159.875,180.6875
6721,android.sensor.orientation,260.25998,27.64,-9.13
6771,android.sensor.orientation,260.8,27.789999,-9.88
6826,android.sensor.accelerometer,-2.7581203,-6.5984197,7.8050976
6876,android.sensor.accelerometer,-1.6376339,-4.8841715,7.9583263
6926,android.sensor.accelerometer,-2.078167,-5.650316,8.149862
6977,android.sensor.accelerometer,-0.2873042,-9.77792,6.1387334
7031,android.sensor.game_rotation_vector,-0.307714,0.020594,0.277499,0.90987897
7081,android.sensor.orientation,273.3,28.92,-6.2
7136,android.sensor.accelerometer,-0.36391866,-5.746084,7.019799
7186,android.sensor.accelerometer,-1.7142484,-5.7269306,9.32781
7236,android.sensor.accelerometer,-2.777274,-5.497087,8.1402855
7286,android.sensor.accelerometer,-0.38307226,-6.3302693,9.548077
7336,android.sensor.accelerometer,2.0590134,-6.129156,9.021352
7390,android.sensor.rotation_vector,-0.220185,-0.115136,0.691245,0.678558,0.0
7441,android.sensor.orientation,267.09,28.689999,-9.25
7496,android.sensor.accelerometer,-2.030283,-5.602432,9.423578
7548,android.sensor.accelerometer,-3.0262709,-5.899313,8.063671
7599,android.sensor.gyroscope,-0.30909783,-0.47525316,-0.64996064
7649,android.sensor.game_rotation_vector,-0.351963,0.015048,0.264365,0.897778
7701,android.sensor.orientation,268.75,40.91,-15.69
7751,android.sensor.orientation,263.02,44.309998,-13.67
7806,android.sensor.accelerometer,-1.3215994,-5.746084,7.029376
-7856,sound,55.20844966846424
7907,android.sensor.accelerometer,0.91937345,-8.820239,8.714894
7957,android.sensor.rotation_vector,-0.27245,-0.227049,0.746874,0.562492,0.0
8009,android.sensor.game_rotation_vector,-0.379096,-0.069808,0.359384,0.849855
8061,android.sensor.orientation,253.64,40.5,-5.65
8111,android.sensor.orientation,253.65999,40.649998,-4.68
8167,android.sensor.accelerometer,-0.80445176,-8.121132,8.561666
8216,android.sensor.accelerometer,-2.1930888,-7.575254,8.561666
8266,android.sensor.accelerometer,-0.59376204,-7.3549876,3.9456444
8316,android.sensor.accelerometer,-2.231396,-6.789956,9.433155
8369,android.sensor.game_rotation_vector,-0.402661,-0.067846,0.372105,0.83354497
8420,android.sensor.magnetic_field,26.625,18.5,-34.4375
8472,android.sensor.orientation,247.87999,44.35,-12.7
8526,android.sensor.accelerometer,-1.1492168,-7.5082164,6.4643445
8576,android.sensor.accelerometer,-2.432509,-9.988609,6.4643445
8626,android.sensor.accelerometer,-1.7717092,-5.363012,5.755661
8676,android.sensor.accelerometer,-1.5514427,-7.3166804,7.7093296
8726,android.sensor.accelerometer,-0.9768343,-7.699753,6.0716953
8777,android.sensor.rotation_vector,-0.295212,-0.268308,0.74186,0.538984,0.0
8829,android.sensor.game_rotation_vector,-0.425617,-0.033262,0.310668,0.849251
8881,android.sensor.orientation,253.65999,46.879997,-10.7699995
8935,android.sensor.orientation,252.39,47.379997,-10.8
8986,android.sensor.accelerometer,-0.91937345,-7.28795,6.445191
9037,android.sensor.geomagnetic_rotation_vector,-0.26941898,-0.268759,0.780034,0.496716,0.0
9087,android.sensor.geomagnetic_rotation_vector,-0.269015,-0.26795,0.777368,0.50153,0.0
9139,android.sensor.magnetic_field_uncalibrated,154.25,180.5625,147.6875,132.0,159.875,180.6875
9191,android.sensor.orientation,245.84999,44.46,-8.28
9247,android.sensor.accelerometer,-1.8100165,-7.1347213,7.2304893
9296,android.sensor.accelerometer,-1.6663644,-8.418014,5.8705826
9346,android.sensor.accelerometer,-0.82360536,-8.159439,8.197746
9396,android.sensor.accelerometer,-1.4269443,-8.322245,6.291962
9446,android.sensor.accelerometer,1.5897499,-7.9966335,7.431602
9496,android.sensor.accelerometer,2.566584,-6.9144545,6.895301
9547,android.sensor.geomagnetic_rotation_vector,-0.191657,-0.463897,0.836585,0.219527,0.0
9599,android.sensor.game_rotation_vector,-0.388337,-0.167208,0.32872,0.844498
9649,android.sensor.game_rotation_vector,-0.395732,-0.152416,0.330658,0.843107
9701,android.sensor.orientation,239.39,48.43,-2.9199998
9752,android.sensor.orientation,236.09,47.14,-4.62
9806,android.sensor.accelerometer,-2.4612393,-6.895301,5.267244
-9855,sound,50.88136088700551
9907,android.sensor.accelerometer,-1.0151415,-8.312668,5.449203
9957,android.sensor.geomagnetic_rotation_vector,-0.22637,-0.329149,0.884691,0.240286,0.0
10010,android.sensor.game_rotation_vector,-0.378377,-0.047421,0.521443,0.763333
10063,android.sensor.orientation,216.12999,35.84,-21.56
10116,android.sensor.accelerometer,-3.1316159,-6.3781533,7.747637
10167,android.sensor.accelerometer,-4.2521024,-8.350976,8.178593
10216,android.sensor.accelerometer,-3.916914,-7.536947,8.848969
10267,android.sensor.geomagnetic_rotation_vector,-0.140908,-0.399343,0.905861,0.009258,0.0
10318,android.sensor.gravity,-1.0406,-6.3075,7.4364996
10373,android.sensor.geomagnetic_rotation_vector,0.013648,0.308784,-0.950778,0.022026,0.0
10426,android.sensor.accelerometer,-2.4229321,-5.4779334,8.37013
10476,android.sensor.accelerometer,1.9057846,-6.0716953,6.742072
10526,android.sensor.accelerometer,0.46926352,-6.540959,8.39886
10576,android.sensor.accelerometer,1.5035586,-5.5641246,6.5122285
10626,android.sensor.accelerometer,1.484405,-6.253655,7.5465236
10676,android.sensor.accelerometer,0.5746084,-5.449203,8.159439
10726,android.sensor.accelerometer,2.6048915,-6.531382,7.785944
10776,android.sensor.accelerometer,1.1300632,-5.544971,8.121132
10827,android.sensor.rotation_vector,-0.152591,0.30668,-0.934697,0.094887,0.0
10880,android.sensor.game_rotation_vector,-0.108467996,-0.307657,0.734447,0.595119
10932,android.sensor.step_counter,1114.0
10980,android.sensor.gyroscope_uncalibrated,0.9651671,-0.3726278,-0.408058,0.012217305,0.04642576,-0.0012217305
11036,android.sensor.accelerometer,1.4269443,-5.1906295,7.9487495
11086,android.sensor.accelerometer,2.7964275,-4.0892963,7.2592196
11137,android.sensor.accelerometer,3.1890767,-4.5298295,8.255207
11187,android.sensor.accelerometer,4.1276035,-4.644751,8.197746
11239,android.sensor.game_rotation_vector,-0.006074,-0.273072,0.738298,0.616692
11289,android.sensor.gravity,3.5551,-3.8481,8.2899
11354,android.sensor.gyroscope,0.04153884,-0.6377433,-0.30543262
11391,android.sensor.orientation,158.76999,23.92,24.88
11447,android.sensor.accelerometer,4.3382936,-3.0933087,8.0445175
11496,android.sensor.accelerometer,4.050989,-2.9975405,8.264784
11546,android.sensor.accelerometer,3.8786068,-2.9879637,8.456321
11596,android.sensor.accelerometer,4.7884035,-2.4995465,8.37013
11646,android.sensor.accelerometer,4.1371803,-2.135628,7.967903
11697,android.sensor.accelerometer,4.3766007,-2.5570073,8.063671
11749,android.sensor.geomagnetic_rotation_vector,-0.225405,0.042387,-0.935641,0.268272,0.0
11815,android.sensor.accelerometer,4.4723687,-2.0111294,8.983045
11866,android.sensor.accelerometer,2.834735,-1.7908629,9.040505
11917,android.sensor.accelerometer,4.2042184,-2.1643584,8.743625
11966,android.sensor.accelerometer,3.5625722,-1.9919758,8.456321
12017,android.sensor.geomagnetic_rotation_vector,-0.21105699,0.066369,-0.947857,0.229381,0.0
12070,android.sensor.game_rotation_vector,0.059537,-0.214468,0.738383,0.636591
12122,android.sensor.orientation,156.45999,17.0,22.31
12172,android.sensor.orientation,154.78,18.32,22.17
12227,android.sensor.accelerometer,3.4955344,-3.0358477,8.887277
12277,android.sensor.accelerometer,3.3806129,-3.1986535,10.5440645
12329,android.sensor.accelerometer,4.76925,-2.9017725,8.312668
12387,android.sensor.accelerometer,3.371036,-2.7389667,8.37013
12438,android.sensor.accelerometer,3.5817258,-2.4516625,9.864111
12486,android.sensor.accelerometer,3.5913026,-2.2984335,8.973468
12536,android.sensor.accelerometer,3.7062242,-2.4133554,8.571242
12586,android.sensor.accelerometer,3.5817258,-2.0111294,8.159439
12636,android.sensor.accelerometer,3.2465374,-2.0973208,8.494628
12687,android.sensor.geomagnetic_rotation_vector,-0.230612,0.073152,-0.950697,0.194012,0.0
12737,android.sensor.rotation_vector,-0.230079,0.079003,-0.951721,0.187209,0.0
12790,android.sensor.game_rotation_vector,0.075536996,-0.220528,0.749185,0.619986
12839,android.sensor.game_rotation_vector,0.066359,-0.214284,0.75546,0.615595
12889,android.sensor.gyroscope_uncalibrated,-0.042760566,0.6658431,0.52656585,0.012217305,0.04642576,-0.0012217305
12940,android.sensor.orientation,151.64,18.539999,18.27
12990,android.sensor.orientation,152.23999,21.23,15.349999
13046,android.sensor.accelerometer,2.815581,-3.9264908,10.113108
13096,android.sensor.accelerometer,3.265691,-4.0414124,9.682152
13146,android.sensor.accelerometer,2.4037786,-3.5051112,9.481039
13196,android.sensor.accelerometer,1.532289,-3.323152,9.030929
13246,android.sensor.accelerometer,1.8100165,-3.0933087,8.848969
13296,android.sensor.accelerometer,1.0055647,-2.8443117,9.184157
13356,android.sensor.accelerometer,1.7525556,-2.7389667,9.346964
13406,android.sensor.accelerometer,1.4652514,-2.6623523,9.624691
13457,android.sensor.geomagnetic_rotation_vector,-0.126823,0.121312,-0.946648,0.270289,0.0
13507,android.sensor.gravity,1.8599,-2.7941,9.2143
13558,android.sensor.game_rotation_vector,-0.012429,-0.167678,0.783807,0.597809
13609,android.sensor.game_rotation_vector,-0.012644,-0.165437,0.785151,0.596664
13658,android.sensor.game_rotation_vector,-0.002607,-0.16822,0.785375,0.595717
13709,android.sensor.game_rotation_vector,0.007239,-0.168603,0.78466,0.596513
13760,android.sensor.orientation,148.20999,14.71,13.98
13811,android.sensor.orientation,148.20999,13.99,14.599999
13860,android.sensor.orientation,148.23999,13.33,14.65
13912,android.sensor.orientation,148.16,12.719999,14.9
13966,android.sensor.accelerometer,2.681506,-2.0015526,9.270349
14016,android.sensor.accelerometer,2.8060043,-2.030283,9.3661175
14066,android.sensor.accelerometer,2.432509,-1.934515,8.8777
14116,android.sensor.accelerometer,2.825158,-1.8866309,9.021352
14166,android.sensor.accelerometer,2.4516625,-1.7238252,9.270349
14216,android.sensor.accelerometer,2.2026656,-2.0590134,9.950302
14266,android.sensor.accelerometer,1.6759412,-1.9536686,10.266336
14317,android.sensor.rotation_vector,-0.09698,0.075798,-0.955868,0.266767,0.0
14369,android.sensor.game_rotation_vector,-0.011235,-0.10987,0.787331,0.606557
14419,android.sensor.gyroscope_uncalibrated,-0.02443461,-0.30787608,0.04520403,0.012217305,0.04642576,-0.0012217305
14469,android.sensor.gyroscope_uncalibrated,0.06963864,0.31642818,-0.007330383,0.012217305,0.04642576,-0.0012217305
14521,android.sensor.orientation,147.09999,10.96,5.94
14572,android.sensor.orientation,147.02,10.87,5.5
14626,android.sensor.accelerometer,0.93852705,-1.7908629,9.739613
14676,android.sensor.accelerometer,1.1204864,-1.7525556,9.739613
14726,android.sensor.accelerometer,0.81402856,-1.6759412,9.787497
14776,android.sensor.accelerometer,0.7757214,-1.685518,9.873688
14827,android.sensor.gravity,0.8793,-1.8354,9.5931
14878,android.sensor.game_rotation_vector,-0.029697,-0.088194996,0.789481,0.606678
14929,android.sensor.game_rotation_vector,-0.033632,-0.084297,0.789904,0.606476
14980,android.sensor.orientation,145.87999,10.66,3.6
15031,android.sensor.orientation,145.44,10.88,3.6399999
15086,android.sensor.accelerometer,0.6895301,-1.9632454,9.816227
15136,android.sensor.accelerometer,0.58418524,-1.934515,9.710882
15186,android.sensor.accelerometer,0.6607997,-1.9536686,9.691729
15236,android.sensor.accelerometer,0.7374141,-2.0398598,9.691729
15287,android.sensor.accelerometer,0.6991069,-1.9632454,9.825804
15339,android.sensor.game_rotation_vector,-0.035012,-0.092992,0.79495597,0.598473
15389,android.sensor.game_rotation_vector,-0.035094,-0.092529,0.794532,0.599103
15440,android.sensor.orientation,144.76,11.2699995,3.6599998
15491,android.sensor.orientation,144.73,11.36,3.6699998
15547,android.sensor.accelerometer,0.5650316,-1.8866309,9.730036
15597,android.sensor.accelerometer,0.61291564,-1.9249382,9.77792
15646,android.sensor.accelerometer,0.6703765,-1.9632454,9.758766
15697,android.sensor.rotation_vector,-0.061845,0.087251,-0.947854,0.300223,0.0
15749,android.sensor.game_rotation_vector,-0.034531,-0.097322,0.794009,0.59907
15799,android.sensor.magnetic_field_uncalibrated,116.25,150.625,140.375,132.0,159.875,180.6875
15851,android.sensor.orientation,144.17,11.719999,3.86
15907,android.sensor.accelerometer,0.63206923,-1.982399,9.624691
15956,android.sensor.accelerometer,0.63206923,-1.934515,9.576807
16006,android.sensor.accelerometer,0.6512229,-2.0015526,9.672575
16056,android.sensor.accelerometer,0.61291564,-1.9728222,9.797073
16107,android.sensor.rotation_vector,-0.060571,0.088934,-0.946374,0.304625,0.0
16158,android.sensor.game_rotation_vector,-0.03763,-0.09761,0.794233,0.598539
16209,android.sensor.game_rotation_vector,-0.037763,-0.097644,0.794048,0.59877
16261,android.sensor.orientation,143.91,11.759999,3.26
16311,android.sensor.orientation,144.03,11.65,3.08
16363,android.sensor.orientation,144.06999,11.559999,2.8999999
16416,android.sensor.accelerometer,0.41180268,-1.9440918,9.80665
16476,android.sensor.accelerometer,0.5650316,-1.9728222,9.710882
16526,android.sensor.accelerometer,0.30645782,-1.9919758,8.0445175
16576,android.sensor.accelerometer,1.0055647,-2.0973208,9.988609
16626,android.sensor.accelerometer,1.0534488,-2.0590134,10.01734
16676,android.sensor.accelerometer,0.2777274,-1.9249382,9.844957
32,android.sensor.magnetic_field,-11.375,-14.375,-38.875
53,android.sensor.orientation,144.5,11.49,4.11
104,android.sensor.orientation,144.62,11.45,3.8899999
153,android.sensor.orientation,144.54,11.49,3.84
204,android.sensor.gyroscope,-0.002443461,-0.02321288,0.015882496
254,android.sensor.orientation,144.47,11.469999,3.9599998
307,android.sensor.accelerometer,0.6512229,-1.9919758,9.739613
357,android.sensor.accelerometer,0.6512229,-1.9440918,9.710882
408,android.sensor.accelerometer,0.7469909,-1.9919758,9.768343
462,android.sensor.accelerometer,0.7086837,-1.9536686,9.691729
517,android.sensor.accelerometer,0.6607997,-1.9632454,9.730036
567,android.sensor.accelerometer,0.6895301,-1.9536686,9.615114
629,android.sensor.accelerometer,0.7278373,-1.9440918,9.682152
667,android.sensor.accelerometer,0.6895301,-1.9536686,9.701305
717,android.sensor.accelerometer,0.6895301,-1.9249382,9.682152
767,android.sensor.accelerometer,0.61291564,-1.8770541,9.77792
818,android.sensor.accelerometer,0.641646,-1.9057846,9.797073
868,android.sensor.accelerometer,0.6991069,-1.8962077,9.825804
918,android.sensor.accelerometer,0.6991069,-1.9153614,9.80665
969,android.sensor.geomagnetic_rotation_vector,-0.064425,0.081796,-0.94448197,0.311626,0.0
1020,android.sensor.game_rotation_vector,-0.031407,-0.099555,0.795007,0.597549
1070,android.sensor.gyroscope_uncalibrated,-0.06352998,-0.0061086523,0.015882496,0.012217305,0.04642576,-0.0012217305
1121,android.sensor.magnetic_field_uncalibrated,117.6875,150.625,142.5625,132.0,159.875,180.6875
1172,android.sensor.orientation,143.98,12.17,4.31
1227,android.sensor.accelerometer,0.5554548,-2.0973208,9.77792
1277,android.sensor.accelerometer,0.6607997,-2.1164744,9.730036
1327,android.sensor.accelerometer,0.6607997,-2.0973208,9.730036
1378,android.sensor.accelerometer,0.641646,-2.1164744,9.739613
1428,android.sensor.geomagnetic_rotation_vector,-0.065738,0.092092,-0.950198,0.290378,0.0
1480,android.sensor.game_rotation_vector,-0.039928,-0.096343,0.795954,0.596305
1532,android.sensor.orientation,143.92,12.059999,3.23
1582,android.sensor.gyroscope,0.043982297,-0.037873644,-0.021991149
1644,android.sensor.accelerometer,0.60333884,-2.0207062,9.672575
1687,android.sensor.accelerometer,0.59376204,-1.9728222,9.615114
1737,android.sensor.accelerometer,0.7469909,-2.0015526,9.624691
1787,android.sensor.accelerometer,0.7469909,-1.982399,9.701305
1838,android.sensor.accelerometer,0.7661445,-2.0398598,9.634268
1889,android.sensor.linear_acceleration,-0.0213,0.029099999,0.016999999
1941,android.sensor.game_rotation_vector,-0.030234,-0.104986,0.7951,0.596555
1993,android.sensor.orientation,143.76,12.009999,4.6
2043,android.sensor.orientation,143.69,12.11,4.65
2097,android.sensor.accelerometer,0.7374141,-1.9919758,9.749189
2147,android.sensor.accelerometer,0.7757214,-2.078167,9.653421
2197,android.sensor.accelerometer,0.7565677,-2.0973208,9.701305
2247,android.sensor.accelerometer,0.78529817,-2.1164744,9.701305
2300,android.sensor.geomagnetic_rotation_vector,-0.074745,0.087645,-0.939346,0.323046,0.0
2352,android.sensor.orientation,143.4,12.639999,4.41
2404,android.sensor.orientation,143.37999,12.62,4.56
2458,android.sensor.accelerometer,1.0151415,-2.1260512,9.911995
2507,android.sensor.accelerometer,0.89064306,-2.2218192,9.9790325
2608,android.sensor.gravity,2.0507998,-2.1182,9.3529
2660,android.sensor.gyroscope,0.018325957,-0.02565634,0.009773844
2711,android.sensor.orientation,139.84,12.69,11.679999
2762,android.sensor.orientation,140.02,12.61,10.83
2917,android.sensor.accelerometer,0.5554548,-1.8866309,9.5385
2967,android.sensor.accelerometer,0.842759,-1.8483237,9.615114
3019,android.sensor.accelerometer,0.5554548,-1.7812861,9.643845
3070,android.sensor.game_rotation_vector,-0.02772,-0.109671,0.799187,0.590341
3121,android.sensor.game_rotation_vector,-0.029605,-0.109966,0.800372,0.588586
3177,android.sensor.accelerometer,0.7086837,-2.3942018,9.3182335
3227,android.sensor.accelerometer,0.842759,-2.5091233,9.710882
3278,android.sensor.geomagnetic_rotation_vector,-0.079472,0.100722,-0.950558,0.282801,0.0
3329,android.sensor.game_rotation_vector,-0.025295,-0.11188,0.808708,0.576917
3380,android.sensor.game_rotation_vector,-0.022295,-0.113025,0.809487,0.575723
3429,android.sensor.game_rotation_vector,-0.020323,-0.113603,0.809764,0.575294
3480,android.sensor.magnetic_field,-17.9375,-7.8125,-38.125
3532,android.sensor.orientation,139.26,12.009999,6.0899997
3582,android.sensor.orientation,139.15,12.0199995,6.29
3638,android.sensor.accelerometer,1.2354081,-2.1452048,9.653421
3687,android.sensor.accelerometer,1.8291701,-2.1643584,9.423578
3737,android.sensor.accelerometer,1.6280571,-2.135628,9.605537
3787,android.sensor.accelerometer,1.5610195,-2.078167,9.586384
3837,android.sensor.accelerometer,2.3942018,-2.2984335,9.634268
3887,android.sensor.accelerometer,2.3750482,-2.2984335,9.356541
3937,android.sensor.accelerometer,2.336741,-2.231396,9.356541
3988,android.sensor.linear_acceleration,0.0117999995,-0.0883,0.0165
4040,android.sensor.game_rotation_vector,0.032469,-0.16283,0.813264,0.557703
4089,android.sensor.game_rotation_vector,0.027707,-0.159542,0.813554,0.558487
4140,android.sensor.gyroscope,0.009773844,0.17715092,0.0061086523
4193,android.sensor.orientation,135.67,13.46,12.08
4247,android.sensor.accelerometer,1.982399,-2.183512,9.509769
4297,android.sensor.accelerometer,1.8962077,-2.1643584,9.519346
