63,activityrecognition,unknown,35
13247,android.sensor.game_rotation_vector,0.5031037,-0.50857866,0.5477666,0.43380427
13296,android.sensor.accelerometer,12.869934,3.0684967,-1.230423
13347,android.sensor.gyroscope,0.30213928,0.051620483,-0.35240173
13400,android.sensor.game_rotation_vector,0.5086889,-0.4722486,0.56992483,0.4397755
13452,android.sensor.accelerometer,11.691284,-5.6061096,-2.0097656
13503,android.sensor.gyroscope,-2.4516144,-1.6282349,0.23155212
13559,android.sensor.gyroscope,-3.196869,-0.20368958,0.2584381
13606,android.sensor.orientation,69.09601,176.08467,76.431625
13658,android.sensor.rotation_vector,0.67068714,-0.43285167,0.51503587,0.3123399,0.17453292
13708,android.sensor.accelerometer,8.901245,-1.0968628,-3.373001
13760,android.sensor.magnetic_field,-63.37433,-9.030151,-10.784912
13811,android.sensor.game_rotation_vector,0.51979035,-0.5718739,0.44625622,0.4512578
13862,android.sensor.game_rotation_vector,0.5119954,-0.56119317,0.44855994,0.47086826
13913,android.sensor.rotation_vector,0.63945127,-0.38449615,0.5783693,0.32977828,0.17453292
13967,android.sensor.gyroscope,0.25080872,-0.94773865,0.26820374
14017,android.sensor.gyroscope,0.81282043,-0.4089508,0.33540344
14074,android.sensor.gyroscope,0.7505188,0.2043457,0.41238403
14122,android.sensor.rotation_vector,0.654426,-0.36701837,0.606515,0.26298988,0.17453292
14189,android.sensor.gyroscope_uncalibrated,0.9009552,1.0670319,0.4146881,0.025833135,0.014816284,-0.01966858
14244,android.sensor.gyroscope,1.1206818,1.0509949,0.51257324
14294,android.sensor.gyroscope_uncalibrated,0.82032776,1.2796173,0.1764679,0.025833135,0.014816284,-0.01966858
14346,android.sensor.gravity,9.6190405,-1.5273033,1.1453372
14397,android.sensor.accelerometer,11.704483,-1.3121948,1.4564514
14448,android.sensor.gravity,9.765111,-0.9011793,0.02939399
14505,android.sensor.accelerometer,7.902649,-7.4913483,-7.073883
14554,android.sensor.gyroscope,-3.0820313,-0.5799866,0.47592163
14610,android.sensor.rotation_vector,0.6812245,-0.3825846,0.5632551,0.2688976,0.17453292
14666,android.sensor.magnetic_field,-64.567566,-10.565186,-8.279419
14719,android.sensor.magnetic_field_uncalibrated,-103.66821,-93.096924,-77.48413,-40.634766,-82.70264,-68.03589
14774,android.sensor.accelerometer,12.890671,5.0779114,-9.4048
14826,android.sensor.gyroscope_uncalibrated,-1.146637,0.39019775,-0.43925476,0.025833135,0.014816284,-0.01966858
14879,android.sensor.orientation,81.895386,152.8139,82.09875
14930,android.sensor.gravity,9.747444,-0.5972565,-0.8949935
14982,android.sensor.gravity,9.6825285,-0.7875485,-1.341191
15035,android.sensor.gyroscope,0.90322876,-0.14506531,0.43191528
15087,android.sensor.magnetic_field_uncalibrated,-103.49884,-93.26782,-76.649475,-40.634766,-82.70264,-68.03589
15136,android.sensor.gravity,9.630453,-1.348677,-1.2672145
15189,android.sensor.rotation_vector,0.6452682,-0.3534836,0.6371282,0.22966492,0.17453292
15241,android.sensor.gyroscope,0.82380676,1.1133118,0.3549652
15293,android.sensor.gravity,9.62672,-1.798998,0.51014435
15347,android.sensor.gyroscope,0.37420654,0.23487854,-0.6370697
15398,android.sensor.linear_acceleration,3.7437706,0.60723805,0.8268372
15450,android.sensor.gravity,9.760671,-0.7967372,-0.5146829
15501,android.sensor.game_rotation_vector,0.56273884,-0.5076527,0.51727796,0.397539
15554,android.sensor.gravity,9.514556,-0.6210421,-2.2930164
15606,android.sensor.gyroscope_uncalibrated,0.34506226,0.39875793,0.005432129,0.025833135,0.014816284,-0.01966858
15662,android.sensor.rotation_vector,0.66135496,-0.38961425,0.56753594,0.29784775,0.17453292
15713,android.sensor.gyroscope_uncalibrated,0.40249634,0.4072876,0.1764679,0.025833135,0.014816284,-0.01966858
15766,android.sensor.gyroscope,0.16041565,0.16769409,-0.08483887
15818,android.sensor.gyroscope_uncalibrated,0.48190308,0.94729614,-0.49058533,0.025833135,0.014816284,-0.01966858
15872,android.sensor.linear_acceleration,0.80131245,-4.277665,1.2817805
15923,android.sensor.gyroscope_uncalibrated,0.0115356445,-1.0440826,0.3572693,0.025833135,0.014816284,-0.01966858
15976,android.sensor.accelerometer,7.186569,-0.048171997,0.2955017
16030,android.sensor.gravity,9.650239,-0.89843667,-1.4953526
16074,android.sensor.accelerometer,5.6090546,-0.044784546,0.22221375
16135,android.sensor.rotation_vector,0.6465777,-0.38212353,0.6058024,0.2625305,0.17453292
16188,android.sensor.gyroscope_uncalibrated,0.827652,0.9069977,0.36950684,0.025833135,0.014816284,-0.01966858
16241,android.sensor.accelerometer,13.4001465,2.0477142,-0.76846313
16296,android.sensor.orientation,160.92493,68.36757,80.1312
16347,android.sensor.accelerometer,12.377533,-1.1144562,1.5761719
16400,android.sensor.gyroscope_uncalibrated,0.20333862,-2.0727844,-0.38917542,0.025833135,0.014816284,-0.01966858
16452,android.sensor.gyroscope,-2.1743011,-2.3160706,-0.040863037
16504,android.sensor.game_rotation_vector,0.5580188,-0.54797035,0.48206496,0.39491382
16560,android.sensor.gyroscope,-0.76319885,-0.030212402,-0.06285095
16609,android.sensor.accelerometer,6.653015,1.4077301,-3.6104584
16661,android.sensor.gyroscope,-0.06315613,0.54885864,0.0067749023
16711,android.sensor.gyroscope,1.3491516,0.6930237,0.26455688
16766,android.sensor.rotation_vector,0.66094,-0.38712487,0.5737122,0.29008093,0.17453292
16817,android.sensor.gyroscope_uncalibrated,0.40615845,0.8727722,-0.48690796,0.025833135,0.014816284,-0.01966858
16872,android.sensor.accelerometer,10.718613,-2.5516968,5.685135
16923,android.sensor.gyroscope,1.2453156,-0.31854248,-0.08728027
16975,android.sensor.gyroscope_uncalibrated,1.8221283,0.35476685,0.20211792,0.025833135,0.014816284,-0.01966858
17026,android.sensor.gravity,9.638515,-0.7279946,-1.6551238
17079,android.sensor.orientation,74.95715,147.0431,80.63209
17131,android.sensor.game_rotation_vector,0.5627845,-0.49391958,0.5408606,0.38312778
17183,android.sensor.accelerometer,10.372894,0.81073,-3.7981415
17234,android.sensor.magnetic_field,-60.47516,-16.021729,-11.2854
17286,android.sensor.magnetic_field_uncalibrated,-101.11084,-99.746704,-79.989624,-40.634766,-82.70264,-68.03589
17338,android.sensor.gyroscope_uncalibrated,0.99868774,0.58322144,-0.14605713,0.025833135,0.014816284,-0.01966858
17391,android.sensor.rotation_vector,0.6504883,-0.20661844,0.7196502,0.1275827,0.17453292
17444,android.sensor.gyroscope_uncalibrated,0.47824097,-1.0123291,-0.55900574,0.025833135,0.014816284,-0.01966858
17495,android.sensor.accelerometer,8.306534,-7.0624695,-2.032364
17547,android.sensor.gyroscope,-1.1871338,-3.1016388,0.551651
17602,android.sensor.magnetic_field,-63.545227,-17.044067,-2.267456
17650,android.sensor.game_rotation_vector,0.6247431,-0.48348236,0.5152107,0.33241355
17701,android.sensor.rotation_vector,0.74417895,-0.27046284,0.5901941,0.15722118,0.17453292
17755,android.sensor.game_rotation_vector,0.6156156,-0.485279,0.52172756,0.3366335
-17809,sound,89.77327011229349
17861,android.sensor.linear_acceleration,3.1446152,1.0843493,0.7199937
17913,android.sensor.gyroscope,0.3045807,0.58551025,-0.22901917
17965,android.sensor.gravity,9.682078,-0.48812607,-1.4796916
18017,android.sensor.gyroscope,0.057800293,-0.11451721,0.18513489
18071,android.sensor.gyroscope,0.37420654,0.14813232,0.19978333
18128,android.sensor.gravity,9.660613,-0.8309911,-1.4671034
18177,android.sensor.gyroscope,-0.15844727,0.48410034,0.18269348
18228,android.sensor.orientation,83.37665,132.22583,82.02452
18282,android.sensor.linear_acceleration,1.2219343,2.3281667,-1.6362753
18334,android.sensor.gravity,9.712081,-1.3291209,0.28162643
18385,android.sensor.gyroscope,0.41207886,0.7504425,-0.312088
18442,android.sensor.game_rotation_vector,0.5438416,-0.38267818,0.6517786,0.3646621
18493,android.sensor.magnetic_field,-62.18109,-21.478271,-8.613586
18544,android.sensor.rotation_vector,0.69883305,-0.21315904,0.66175276,0.16816336,0.17453292
18594,android.sensor.gyroscope_uncalibrated,-1.6267853,-2.0190277,0.64682007,0.025833135,0.014816284,-0.01966858
18646,android.sensor.gyroscope,-1.921402,0.24343872,-0.009094238
18700,android.sensor.linear_acceleration,-4.5638084,3.898583,4.817958
18753,android.sensor.magnetic_field,-63.37433,-17.214966,-5.773926
18803,android.sensor.game_rotation_vector,0.58493733,-0.5070857,0.4953861,0.3940876
18857,android.sensor.gyroscope,0.16529846,0.32528687,-0.2925415
18909,android.sensor.accelerometer,12.026337,-0.80088806,6.767761
18960,android.sensor.orientation,43.0289,-179.90836,81.66913
19013,android.sensor.geomagnetic_rotation_vector,0.70518273,-0.2690542,0.6199071,0.21457477,0.17453292
