54,activityrecognition,still,37
3709,android.sensor.accelerometer,-1.13964,8.7053175,4.2521024
3760,android.sensor.game_rotation_vector,0.511683,0.126235,0.097584,0.84422797
3813,android.sensor.orientation,181.65999,-63.41,-6.3399997
3863,android.sensor.orientation,181.62,-63.52,-6.37
3918,android.sensor.accelerometer,-1.1204864,8.734048,4.4436383
3968,android.sensor.accelerometer,-0.8619126,8.676587,4.606444
4018,android.sensor.accelerometer,-1.3024458,8.63828,4.050989
4068,android.sensor.accelerometer,-1.2258313,8.686164,4.5202527
4118,android.sensor.accelerometer,-1.1492168,8.762778,4.060566
4168,android.sensor.accelerometer,-0.8523358,8.935161,4.3287168
4218,android.sensor.accelerometer,-1.1300632,8.791509,4.146757
4269,android.sensor.geomagnetic_rotation_vector,-0.050239,0.510248,0.857356,0.04542,0.0
4320,android.sensor.geomagnetic_rotation_vector,-0.078094,0.489378,0.868116,0.028002,0.0
4370,android.sensor.gyroscope_uncalibrated,0.12705997,0.12705997,0.07696902,0.008552114,0.047647487,-0.0036651916
4423,android.sensor.orientation,183.26,-63.949997,-7.44
4479,android.sensor.accelerometer,-0.7469909,9.002198,5.2289367
4528,android.sensor.accelerometer,-1.8674773,8.293514,4.501099
4599,android.sensor.accelerometer,-1.3790601,8.724471,4.0797195
4648,android.sensor.accelerometer,-1.1971009,8.8777,4.4436383
4698,android.sensor.accelerometer,-1.2162545,8.820239,3.964798
4748,android.sensor.accelerometer,-1.3215994,8.66701,4.3957543
4798,android.sensor.accelerometer,-1.283292,8.772355,4.1946416
4848,android.sensor.accelerometer,-1.2641385,8.743625,4.4340615
4898,android.sensor.accelerometer,-1.1875241,8.781932,4.414908
4949,android.sensor.geomagnetic_rotation_vector,-0.058256,0.5265,0.84757,0.032068,0.0
5001,android.sensor.game_rotation_vector,0.514047,0.126068,0.08143,0.844529
5051,android.sensor.gyroscope,-0.04642576,0.012217305,0.015882496
5102,android.sensor.game_rotation_vector,0.513398,0.12636,0.083047,0.844723
5160,android.sensor.accelerometer,-1.2641385,8.714894,4.2999864
5208,android.sensor.accelerometer,-1.2545617,8.695741,4.146757
5258,android.sensor.accelerometer,-1.1683705,8.743625,4.414908
5308,android.sensor.accelerometer,-1.1204864,8.762778,4.501099
5358,android.sensor.accelerometer,-1.3215994,8.66701,4.4915223
5409,android.sensor.linear_acceleration,-0.1627,-0.0264,0.0433
5462,android.sensor.game_rotation_vector,0.510571,0.128107,0.088708,0.845598
5518,android.sensor.accelerometer,-1.0630256,8.772355,4.261679
5568,android.sensor.accelerometer,-1.292869,8.647857,4.3478703
5618,android.sensor.accelerometer,-1.1971009,8.63828,4.414908
5668,android.sensor.accelerometer,-1.0821792,8.762778,4.5777135
5718,android.sensor.accelerometer,-1.2545617,8.63828,4.2904096
5770,android.sensor.game_rotation_vector,0.510832,0.128351,0.090949,0.845165
5822,android.sensor.game_rotation_vector,0.510145,0.127757,0.091726,0.845585
5872,android.sensor.orientation,180.26999,-63.43,-6.64
5923,android.sensor.orientation,180.51999,-64.29,-6.49
5978,android.sensor.accelerometer,-1.1109096,8.954314,2.8060043
6029,android.sensor.accelerometer,-0.7086837,9.136273,3.572149
6078,android.sensor.accelerometer,-0.7182605,9.11712,3.514688
6130,android.sensor.accelerometer,-0.8810662,8.954314,4.0701427
6181,android.sensor.game_rotation_vector,0.5336,0.123525,0.095794,0.831164
6254,android.sensor.gyroscope_uncalibrated,0.13561209,0.5839872,0.096516706,0.008552114,0.047647487,-0.0036651916
6308,android.sensor.accelerometer,-1.532289,8.6574335,3.5817258
6358,android.sensor.accelerometer,-1.0821792,9.394848,3.7349546
6408,android.sensor.accelerometer,-1.1587936,8.925584,4.309563
6458,android.sensor.accelerometer,-1.1971009,9.222465,2.8443117
6510,android.sensor.game_rotation_vector,0.538994,0.164622,0.132641,0.815347
6561,android.sensor.game_rotation_vector,0.534606,0.162915,0.132882,0.818533
6612,android.sensor.orientation,173.86,-67.39,-6.97
6663,android.sensor.orientation,173.91,-67.21,-7.0099998
6718,android.sensor.accelerometer,-1.436521,8.714894,3.8019924
6769,android.sensor.accelerometer,-1.3311762,8.858546,3.8307228
6818,android.sensor.accelerometer,-1.1683705,9.030929,3.9456444
-6867,sound,40.98436045340363
6918,android.sensor.accelerometer,-1.4173675,8.791509,3.7253778
6970,android.sensor.game_rotation_vector,0.526757,0.160379,0.129735,0.824605
7021,android.sensor.game_rotation_vector,0.525548,0.160136,0.130478,0.825306
7072,android.sensor.orientation,174.33,-66.22,-7.37
7123,android.sensor.orientation,174.23999,-66.21,-7.37
7178,android.sensor.accelerometer,-1.3311762,8.829816,3.9456444
7228,android.sensor.accelerometer,-1.2258313,8.868123,4.0222588
7279,android.sensor.linear_acceleration,0.1273,0.1803,0.0713
7332,android.sensor.gyroscope,-0.037873644,-0.0036651916,-0.013439035
7387,android.sensor.orientation,174.37999,-65.52,-7.18
7438,android.sensor.accelerometer,-1.2162545,8.848969,4.0414124
7488,android.sensor.accelerometer,-1.2449849,8.868123,4.0797195
7538,android.sensor.geomagnetic_rotation_vector,0.078367,-0.534917,-0.841244,0.005431,0.0
7590,android.sensor.game_rotation_vector,0.518792,0.156517,0.132108,0.830002
7641,android.sensor.game_rotation_vector,0.519224,0.156047,0.131029,0.829991
7695,android.sensor.orientation,174.58,-66.119995,-7.1299996
7748,android.sensor.accelerometer,-1.2737153,8.848969,3.7445314
7802,android.sensor.game_rotation_vector,0.530213,0.157512,0.128831,0.823083
7853,android.sensor.gyroscope,-0.002443461,-0.008552114,0.013439035
7907,android.sensor.orientation,174.67,-67.049995,-6.8999996
7958,android.sensor.accelerometer,-1.1109096,9.050082,3.8977604
8008,android.sensor.accelerometer,-1.1204864,8.925584,3.9552212
8059,android.sensor.gravity,-1.1833,8.9604,3.8051999
8110,android.sensor.game_rotation_vector,0.530444,0.15626,0.129212,0.823113
8161,android.sensor.game_rotation_vector,0.530415,0.156744,0.128706,0.823119
8212,android.sensor.orientation,174.83,-67.18,-7.17
8263,android.sensor.orientation,174.83,-67.07,-7.1299996
8318,android.sensor.accelerometer,-1.3024458,8.944737,3.6870706
-8367,sound,79.42180426274231
8418,android.sensor.accelerometer,-1.1300632,9.002198,3.7349546
8468,android.sensor.accelerometer,-1.2545617,8.944737,3.8786068
8518,android.sensor.accelerometer,-1.2641385,8.935161,3.6774938
8570,android.sensor.game_rotation_vector,0.53136,0.15858,0.127068,0.822412
8622,android.sensor.game_rotation_vector,0.531052,0.158437,0.127129,0.822629
8673,android.sensor.orientation,174.67,-67.1,-7.25
8724,android.sensor.orientation,174.76,-67.09,-7.2599998
8778,android.sensor.accelerometer,-1.1204864,9.011775,3.6870706
8830,android.sensor.accelerometer,-1.1971009,8.925584,3.9743748
8881,android.sensor.gyroscope_uncalibrated,0.028099801,0.03176499,-0.03176499,0.008552114,0.047647487,-0.0036651916
8933,android.sensor.orientation,174.81999,-67.1,-7.23
8988,android.sensor.accelerometer,-1.1587936,9.011775,4.003105
9038,android.sensor.accelerometer,-1.2449849,8.90643,3.8594532
9088,android.sensor.accelerometer,-1.2162545,8.944737,3.6774938
9138,android.sensor.accelerometer,-1.3120226,8.916007,3.8307228
9192,android.sensor.game_rotation_vector,0.530391,0.158469,0.12706,0.82306
9244,android.sensor.game_rotation_vector,0.530159,0.158218,0.127201,0.823236
9298,android.sensor.accelerometer,-1.2641385,8.896853,3.715801
9348,android.sensor.accelerometer,-1.1587936,9.030929,3.715801
9398,android.sensor.accelerometer,-1.3599066,8.896853,3.7445314
9450,android.sensor.gravity,-1.2642,8.8993,3.921
9503,android.sensor.orientation,175.23,-65.29,-7.06
9558,android.sensor.accelerometer,-1.0726024,8.772355,4.175488
9608,android.sensor.accelerometer,-1.340753,8.494628,3.8977604
9658,android.sensor.accelerometer,-0.5650316,8.916007,4.367024
9708,android.sensor.accelerometer,-0.8714894,8.542512,4.7979803
9758,android.sensor.accelerometer,-0.7278373,8.6574335,5.2863975
9808,android.sensor.accelerometer,-0.78529817,8.590396,4.759673
9859,android.sensor.geomagnetic_rotation_vector,-0.053714998,0.512882,0.856734,0.008505,0.0
9909,android.sensor.rotation_vector,-0.039568,0.518042,0.85423,0.01887,0.0
9961,android.sensor.game_rotation_vector,0.50719,0.114086,0.10655,0.847578
10012,android.sensor.game_rotation_vector,0.508225,0.115395,0.106718,0.846759
10068,android.sensor.accelerometer,-0.8619126,8.66701,4.4436383
10118,android.sensor.accelerometer,-0.91937345,8.676587,4.510676
10169,android.sensor.accelerometer,-0.8523358,8.7053175,4.5777135
10219,android.sensor.geomagnetic_rotation_vector,-0.048656,0.518469,0.853477,0.019958,0.0
10270,android.sensor.game_rotation_vector,0.509472,0.11986,0.108083,0.845215
10321,android.sensor.game_rotation_vector,0.508949,0.119582,0.10804,0.845575
10375,android.sensor.orientation,179.22,-62.87,-5.33
10426,android.sensor.orientation,179.28,-62.829998,-5.39
10480,android.sensor.geomagnetic_rotation_vector,-0.053497,0.516589,0.854521,0.008186,0.0
10548,android.sensor.accelerometer,-0.8714894,8.714894,4.414908
10598,android.sensor.accelerometer,-0.93852705,8.686164,4.4436383
10648,android.sensor.accelerometer,-1.0247183,8.6095495,4.4723687
10698,android.sensor.accelerometer,-0.9672575,8.6574335,4.548983
10749,android.sensor.linear_acceleration,0.031,0.074599996,0.075899996
10804,android.sensor.game_rotation_vector,0.50802,0.121651,0.10948,0.845653
10858,android.sensor.accelerometer,-0.9672575,8.63828,4.596867
10908,android.sensor.accelerometer,-0.7757214,8.791509,4.309563
10958,android.sensor.accelerometer,-0.9768343,8.686164,4.309563
11010,android.sensor.accelerometer,-1.0055647,8.724471,4.5394063
11064,android.sensor.game_rotation_vector,0.511155,0.12265,0.10973,0.843585
11119,android.sensor.accelerometer,-1.091756,8.714894,4.8937483
11168,android.sensor.accelerometer,-0.40222588,9.251195,4.0797195
11218,android.sensor.accelerometer,-0.90021986,9.126697,3.5434184
11271,android.sensor.game_rotation_vector,0.55188197,0.143735,0.112866,0.81365
11326,android.sensor.orientation,175.92,-71.479996,-6.5099998
11382,android.sensor.accelerometer,-1.1875241,9.308656,1.9536686
11429,android.sensor.linear_acceleration,0.085499994,0.083799995,-0.2904
11481,android.sensor.game_rotation_vector,0.578374,0.158111,0.118641,0.791459
11531,android.sensor.geomagnetic_rotation_vector,-0.067524,0.616781,0.784228,0.002591,0.0
11582,android.sensor.orientation,175.76,-71.68,-6.5099998
11638,android.sensor.accelerometer,-1.0247183,9.346964,3.323152
11688,android.sensor.accelerometer,-1.2066777,9.289502,2.7964275
11738,android.sensor.accelerometer,-1.0342951,9.184157,3.323152
11788,android.sensor.accelerometer,-1.292869,8.992621,3.1507695
11838,android.sensor.accelerometer,-1.2449849,9.050082,3.5625722
11889,android.sensor.accelerometer,-0.842759,9.299079,3.821146
11939,android.sensor.rotation_vector,0.064273,-0.56415,-0.823166,1.86E-4,0.0
11990,android.sensor.game_rotation_vector,0.547827,0.145686,0.120462,0.81495297
12041,android.sensor.game_rotation_vector,0.551064,0.146779,0.11885,0.812809
12092,android.sensor.orientation,175.83,-69.369995,-6.47
12143,android.sensor.orientation,175.9,-69.39,-6.49
12198,android.sensor.accelerometer,-1.0821792,9.203311,3.3423057
12248,android.sensor.accelerometer,-0.8523358,9.404425,3.2369606
12298,android.sensor.accelerometer,-1.1492168,8.944737,3.3997664
12348,android.sensor.accelerometer,-1.5131354,8.7053175,3.86903
12398,android.sensor.accelerometer,-1.3503298,8.781932,4.2521024
12450,android.sensor.game_rotation_vector,0.535209,0.140308,0.121233,0.824116
12500,android.sensor.accelerometer,-0.842759,9.11712,3.8307228
12551,android.sensor.magnetic_field_uncalibrated,128.6875,117.0,184.25,127.9375,172.0,179.0
12613,android.sensor.accelerometer,-0.90979666,8.992621,3.7732618
12658,android.sensor.accelerometer,-0.5746084,9.174581,3.4093432
12708,android.sensor.accelerometer,-0.8810662,9.030929,3.7445314
12758,android.sensor.accelerometer,-0.7182605,9.14585,3.6966474
12808,android.sensor.geomagnetic_rotation_vector,0.074123,-0.553948,-0.82906,0.017454,0.0
12861,android.sensor.game_rotation_vector,0.542606,0.140013,0.125615,0.818654
12910,android.sensor.game_rotation_vector,0.544652,0.13945,0.12241,0.817877
12961,android.sensor.magnetic_field_uncalibrated,130.875,115.5,182.8125,127.9375,172.0,179.0
13015,android.sensor.orientation,176.20999,-68.24,-5.7999997
13069,android.sensor.accelerometer,-0.6991069,9.270349,3.4284968
13121,android.sensor.game_rotation_vector,0.543656,0.142608,0.120078,0.81834
13173,android.sensor.orientation,176.51,-68.2,-6.45
13229,android.sensor.accelerometer,-1.1109096,8.724471,3.4955344
13279,android.sensor.accelerometer,-0.34476504,9.136273,3.217807
13328,android.sensor.accelerometer,-0.32561144,9.193734,4.8362875
13381,android.sensor.accelerometer,-1.043872,8.724471,4.4819455
13428,android.sensor.accelerometer,-1.1492168,8.820239,4.2999864
13493,android.sensor.accelerometer,-1.043872,8.8777,4.0892963
13542,android.sensor.accelerometer,-1.3982137,8.647857,4.156334
13591,android.sensor.accelerometer,-0.62249243,9.222465,3.6296098
13641,android.sensor.magnetic_field_uncalibrated,131.625,114.75,183.5,127.9375,172.0,179.0
13698,android.sensor.accelerometer,-0.7565677,9.050082,3.9264908
13748,android.sensor.accelerometer,-1.0534488,8.973468,4.1946416
13799,android.sensor.accelerometer,-1.3599066,8.801085,4.309563
13849,android.sensor.accelerometer,-1.1300632,8.973468,4.271256
13898,android.sensor.accelerometer,-0.93852705,8.868123,4.10845
13948,android.sensor.accelerometer,-1.0151415,9.212888,3.2465374
13998,android.sensor.accelerometer,-1.0055647,8.983045,3.8594532
14049,android.sensor.rotation_vector,0.072459,-0.561936,-0.823931,0.01068,0.0
14101,android.sensor.game_rotation_vector,0.549549,0.160312,0.134323,0.808858
14150,android.sensor.magnetic_field,3.6875,-55.0,7.4375
14202,android.sensor.orientation,173.2,-69.299995,-6.33
14252,android.sensor.orientation,171.94,-70.28,-6.0
14308,android.sensor.accelerometer,-0.5650316,9.586384,3.0071173
14355,android.sensor.orientation,175.09999,-69.47,-6.5
14408,android.sensor.accelerometer,-1.8195933,8.255207,5.0182467
14459,android.sensor.accelerometer,-1.4652514,8.954314,4.7405195
14518,android.sensor.accelerometer,-2.4612393,8.101978,4.4436383
14569,android.sensor.accelerometer,-2.4229321,8.331821,3.6870706
15062,android.sensor.game_rotation_vector,0.51846397,0.130025,0.047742,0.843805
15148,android.sensor.accelerometer,-1.7908629,8.542512,4.3766007
15198,android.sensor.accelerometer,-1.6376339,8.485051,4.654328
15249,android.sensor.accelerometer,-1.5514427,8.66701,4.3957543
15303,android.sensor.accelerometer,-0.8714894,8.714894,4.6926355
15348,android.sensor.accelerometer,-0.7278373,9.816227,1.7238252
15401,android.sensor.gyroscope_uncalibrated,-0.17592919,-0.38606682,-0.31520647,0.008552114,0.047647487,-0.0036651916
15462,android.sensor.accelerometer,-1.1971009,8.820239,3.6966474
15508,android.sensor.accelerometer,-0.8523358,8.743625,5.0278234
15558,android.sensor.accelerometer,-1.1109096,8.7053175,4.817134
15613,android.sensor.accelerometer,-1.9440918,8.42759,3.8019924
15688,android.sensor.accelerometer,-1.5993267,8.6574335,4.663905
15745,android.sensor.accelerometer,-1.6280571,8.628703,4.271256
15805,android.sensor.accelerometer,-1.7142484,8.561666,4.6926355
15853,android.sensor.gyroscope,0.46670106,0.5119051,0.26145032
15910,android.sensor.accelerometer,-1.4556746,9.136273,4.4819455
15968,android.sensor.accelerometer,-1.7142484,8.762778,3.3614593
16016,android.sensor.accelerometer,-1.7238252,8.552089,4.510676
16068,android.sensor.accelerometer,-0.8714894,9.279925,3.2465374
16119,android.sensor.accelerometer,-1.091756,9.270349,2.9783869
16169,android.sensor.accelerometer,-0.90021986,9.251195,3.5242648
16221,android.sensor.game_rotation_vector,0.55229,0.154774,0.113499,0.811256
16279,android.sensor.accelerometer,-1.5801731,8.944737,3.4859576
16328,android.sensor.accelerometer,-2.1643584,8.350976,4.711789
16378,android.sensor.accelerometer,-1.5514427,8.858546,4.3478703
16429,android.sensor.accelerometer,-1.3024458,8.896853,3.7445314
16478,android.sensor.accelerometer,-1.1875241,8.935161,4.5394063
16538,android.sensor.accelerometer,-1.8770541,8.504205,4.309563
16588,android.sensor.accelerometer,-1.3790601,9.030929,3.8881836
16638,android.sensor.accelerometer,-1.2066777,8.954314,4.9703627
16690,android.sensor.game_rotation_vector,0.542289,0.144081,0.080402,0.823831
16741,android.sensor.game_rotation_vector,0.558631,0.158543,0.101306,0.807794
16791,android.sensor.game_rotation_vector,0.569577,0.16463,0.115485996,0.796957
16838,android.sensor.geomagnetic_rotation_vector,-0.024867,0.621647,0.782477,0.025768,0.0
16893,android.sensor.orientation,180.62,-67.86,-9.41
16948,android.sensor.accelerometer,-1.6089035,8.542512,4.5777135
16998,android.sensor.accelerometer,-2.4708161,8.513782,4.261679
17048,android.sensor.accelerometer,-1.3790601,8.90643,4.5681367
17098,android.sensor.accelerometer,-1.9440918,8.628703,4.1659107
17148,android.sensor.accelerometer,-1.733402,8.714894,3.572149
17198,android.sensor.geomagnetic_rotation_vector,-0.081934,0.553592,0.827093,0.052338,0.0
17249,android.sensor.rotation_vector,-0.056265,0.540645,0.835706,0.078308,0.0
17301,android.sensor.game_rotation_vector,0.527743,0.121335,0.028374,0.840213
17352,android.sensor.gyroscope,-0.17837265,-0.008552114,-0.040317107
17403,android.sensor.orientation,183.89,-63.949997,-9.889999
17458,android.sensor.orientation,183.62,-63.73,-10.0199995
17511,android.sensor.game_rotation_vector,0.50997,0.126185,0.034682,0.850178
17565,android.sensor.orientation,182.11,-60.64,-10.639999
17621,android.sensor.accelerometer,-1.6280571,6.9527617,3.2752678
17671,android.sensor.game_rotation_vector,0.392015,0.146107,0.064969,0.905955
17721,android.sensor.magnetic_field_uncalibrated,139.625,120.625,160.125,127.9375,172.0,179.0
17778,android.sensor.accelerometer,-1.7046716,4.855441,10.831368
17828,android.sensor.accelerometer,-2.336741,4.55856,10.869676
17878,android.sensor.accelerometer,-1.6280571,4.414908,9.490616
17928,android.sensor.accelerometer,-1.9057846,4.8267107,7.9104424
17978,android.sensor.accelerometer,-1.2354081,5.3247046,8.24563
18032,android.sensor.game_rotation_vector,0.277931,0.092161,0.10888,0.94995
18080,android.sensor.accelerometer,-0.545878,5.9184666,7.642292
18138,android.sensor.accelerometer,-0.29688102,5.66947,7.728483
18188,android.sensor.accelerometer,-0.23942018,5.7365074,8.264784
18241,android.sensor.game_rotation_vector,0.283641,0.063052,0.108753,0.950654
18293,android.sensor.game_rotation_vector,0.278684,0.066546,0.109629996,0.951781
18346,android.sensor.orientation,180.98,-32.649998,-4.45
18398,android.sensor.accelerometer,-1.0630256,5.315128,8.590396
18449,android.sensor.rotation_vector,-0.042264,0.276724,0.959865,0.017196,0.0
18501,android.sensor.game_rotation_vector,0.269614,0.083591,0.113963,0.95254
18553,android.sensor.orientation,180.65999,-32.69,-5.9
18606,android.sensor.game_rotation_vector,0.268986,0.088487,0.112659,0.95243
18660,android.sensor.accelerometer,-0.7182605,5.133168,8.820239
18708,android.sensor.accelerometer,-0.61291564,5.48751,8.475474
18759,android.sensor.rotation_vector,-0.048357,0.284778,0.957227,0.016667,0.0
18810,android.sensor.game_rotation_vector,0.279555,0.089843,0.121376,0.948179
18861,android.sensor.game_rotation_vector,0.287283,0.095752,0.122962,0.945081
18912,android.sensor.gyroscope,0.11728613,0.37140608,-0.096516706
18964,android.sensor.orientation,179.29,-35.91,-8.29
19018,android.sensor.accelerometer,-1.1683705,6.205771,9.136273
19071,android.sensor.gravity,-1.7342999,5.4423,7.9714
19121,android.sensor.game_rotation_vector,0.269667,0.128971,0.09426,0.94961
19173,android.sensor.orientation,184.26,-34.0,-12.21
19224,android.sensor.orientation,185.90999,-36.3,-13.36
19278,android.sensor.accelerometer,-2.4420857,5.899313,7.1826053
19328,android.sensor.accelerometer,-3.3423057,5.707777,6.3302693
19378,android.sensor.accelerometer,-3.7445314,5.4204726,5.793968
19428,android.sensor.accelerometer,-3.763685,5.7269306,6.531382
19478,android.sensor.linear_acceleration,0.43949997,-0.1336,0.30589998
19530,android.sensor.game_rotation_vector,0.380276,0.156315,-0.065494,0.909211
19581,android.sensor.game_rotation_vector,0.398135,0.163547,-0.06889,0.899996
19672,android.sensor.accelerometer,-3.9264908,6.799533,5.6215854
19686,speed,0.0,12.0
19738,android.sensor.accelerometer,-2.7581203,7.3645644,5.7269306
19788,android.sensor.accelerometer,-4.3478703,6.8091097,5.171476
19838,android.sensor.accelerometer,-3.7828386,7.326257,4.4723687
19888,android.sensor.geomagnetic_rotation_vector,-0.093861,0.51269,0.836294,0.170148,0.0
19941,android.sensor.game_rotation_vector,0.473276,0.168672,-0.089726,0.859946
19991,android.sensor.magnetic_field_uncalibrated,146.25,123.5625,179.125,127.9375,172.0,179.0
20042,android.sensor.magnetic_field_uncalibrated,145.5,123.5625,179.875,127.9375,172.0,179.0
20098,android.sensor.accelerometer,-3.6966474,7.4603324,3.1411927
20148,android.sensor.accelerometer,-4.261679,8.504205,4.855441
20198,android.sensor.accelerometer,-4.8267107,8.0445175,4.453215
20248,android.sensor.accelerometer,-3.6774938,7.651869,3.265691
20298,android.sensor.accelerometer,-4.721366,7.872135,3.371036
20349,android.sensor.geomagnetic_rotation_vector,-0.215589,0.538652,0.811416,0.070561,0.0
20401,android.sensor.game_rotation_vector,0.516907,0.23681,-0.054269,0.820842
20456,android.sensor.orientation,181.29,-66.99,-25.47
20508,android.sensor.accelerometer,-4.5202527,8.101978,4.1180267
20564,android.sensor.game_rotation_vector,0.580915,0.178459,-0.081607,0.789955
20612,android.sensor.orientation,186.36,-75.64,-17.52
20668,android.sensor.accelerometer,-2.0111294,8.599973,3.1890767
20718,android.sensor.accelerometer,-1.9536686,8.714894,4.596867
20768,android.sensor.accelerometer,-3.2369606,8.379706,5.813122
20818,android.sensor.accelerometer,-3.3614593,7.9583263,3.7732618
-20867,sound,67.37689013651644
20922,android.sensor.game_rotation_vector,0.546098,0.118228,-0.025342999,0.828949
20972,android.sensor.gyroscope_uncalibrated,0.81245077,-0.91507614,-0.06352998,0.008552114,0.047647487,-0.0036651916
21026,android.sensor.orientation,192.33,-71.26,-10.7699995
21080,android.sensor.accelerometer,-1.7429788,8.734048,3.2273839
21132,android.sensor.geomagnetic_rotation_vector,-0.039069,0.599226,0.793289,0.100462,0.0
21184,android.sensor.orientation,186.84999,-63.989998,-8.21
21239,android.sensor.accelerometer,-0.7278373,7.747637,8.178593
21288,android.sensor.accelerometer,-1.3215994,7.651869,6.847417
21338,android.sensor.accelerometer,-1.4173675,7.441179,8.1402855
21388,android.sensor.geomagnetic_rotation_vector,-0.030485,0.320173,0.941279,0.102729,0.0
21441,android.sensor.game_rotation_vector,0.392538,0.104078,0.055542,0.912138
